distance,parity,bravyi_kitaev,jordan_wigner
0.5,-5.688577489103759,-6.621897685202286,-6.810114431762516
0.6,-5.88580253387658,-6.776682930102913,-7.059995292324884
0.7,-6.240186359902199,-7.0577079727202925,-7.31715368442627
0.8,-6.4927843694973335,-7.135436835729672,-7.380010809410618
0.9,-6.444333217691709,-7.1837112586875715,-7.50422027319224
1.0,-6.621938130024665,-7.153045533757839,-7.604708289429134
1.1,-6.566729437909954,-7.2963239946337115,-7.5586821444094126
1.2000000000000002,-6.474285353620257,-7.317516411274472,-7.584482259473597
1.3,-6.5128731973814595,-7.341250631390589,-7.632471205833566
1.4,-6.650928409212559,-7.322266940943659,-7.603118300910884
1.5,-6.585131670986183,-7.413171487764063,-7.450817857799755
1.6,-6.583936672039015,-7.228746576139138,-7.632455521704203
1.7000000000000002,-6.714998503734284,-7.352608544531006,-7.7031102215791005
1.8,-6.826954957249912,-7.417568131405082,-7.568536673172852
1.9000000000000001,-6.792981683945653,-7.385682756646793,-7.617280089052773
2.0,-6.79433000170782,-7.39158217209018,-7.629853993263348
2.1,-6.8259850025473305,-7.28125554463656,-7.648158220136768
2.2,-6.972412811722859,-7.419131028449347,-7.5312551112993695
2.3,-6.9708090950578345,-7.413319703664481,-7.593420654761864
2.4000000000000004,-6.847328500747524,-7.523641147416579,-7.625035290841259
2.5,-7.014926661919336,-7.396884395138603,-7.673138677926864
2.6,-6.987727905020011,-7.496164470573959,-7.611476303881353
2.7,-6.9728587930508334,-7.3740802433799155,-7.576545986357195
2.8000000000000003,-6.937298803955153,-7.427868748524762,-7.608117697530276
2.9000000000000004,-7.036668238186746,-7.388701312813428,-7.570760093389511
3.0,-6.977862781154178,-7.35540854756654,-7.536337581516256
3.1,-7.0193794909428195,-7.36092809677779,-7.647886372766046
3.2,-6.915504042874412,-7.401057355335039,-7.5267479207691865
3.3000000000000003,-6.9901263567920875,-7.410917653911247,-7.567653747638388
3.4000000000000004,-7.0571390358662445,-7.406623490067482,-7.543336490517384
3.5,-7.062137142822098,-7.409318484014078,-7.5693819191795955
